Error Category,RMSE [kcal/mol]
Mg2+,0.17055353309294496
Ca2+,0.2593427828500507
Sr2+,0.17317109051230872
La3+,0.11752860527936386
Pr3+,0.0867758470077774
Nd3+,0.07920793162547607
Sm3+,0.12423405437882462
Gd3+,0.10465900804457191
Tb3+,0.06522290339100627
Dy3+,0.06684315620323633
Er3+,0.09382088382697085
Mn2+,0.1856650564444887
Co2+,0.12157380691588554
Ni2+,0.17439860230983117
Cu2+,0.18595523887733167
Al3+,0.19758008523936463
Zn2+,0.16036476142778464
Na+,0.3496533056560616
Fe3+,0.25288288989217705
Li+,0.2282168405285003
K+,0.32219952664496737
Rb+,0.38673525931864444
Cs+,0.22601100579891922
Unobserved Ligand,0.2808254523277764
